city,year,weekofyear,week_start_date,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k
sj,1990,18,4/30/1990,12.42,297.5728571,297.7428571,292.4142857,299.8,295.9,32,73.36571429,12.42,14.01285714,2.628571429
sj,1990,19,5/7/1990,22.82,298.2114286,298.4428571,293.9514286,300.9,296.4,17.94,77.36857143,22.82,15.37285714,2.371428571
sj,1990,20,5/14/1990,34.54,298.7814286,298.8785714,295.4342857,300.5,297.3,26.1,82.05285714,34.54,16.84857143,2.3
sj,1990,21,5/21/1990,15.36,298.9871429,299.2285714,295.31,301.4,297,13.9,80.33714286,15.36,16.67285714,2.428571429
sj,1990,22,5/28/1990,7.52,299.5185714,299.6642857,295.8214286,301.9,297.5,12.2,80.46,7.52,17.21,3.014285714
sj,1990,23,6/4/1990,9.58,299.63,299.7642857,295.8514286,302.4,298.1,26.49,79.89142857,9.58,17.21285714,2.1
sj,1990,24,6/11/1990,3.48,299.2071429,299.2214286,295.8657143,301.3,297.7,38.6,82,3.48,17.23428571,2.042857143
sj,1990,25,6/18/1990,151.12,299.5914286,299.5285714,296.5314286,300.6,298.4,30,83.37571429,151.12,17.97714286,1.571428571
sj,1990,26,6/25/1990,19.32,299.5785714,299.5571429,296.3785714,302.1,297.7,37.51,82.76857143,19.32,17.79,1.885714286
sj,1990,27,7/2/1990,14.41,300.1542857,300.2785714,296.6514286,302.3,298.7,28.4,81.28142857,14.41,18.07142857,2.014285714
sj,1990,28,7/9/1990,22.27,299.5128571,299.5928571,296.0414286,301.8,298,43.72,81.46714286,22.27,17.41857143,2.157142857
sj,1990,29,7/16/1990,59.17,299.6671429,299.75,296.3342857,302,297.3,40.9,82.14428571,59.17,17.73714286,2.414285714
sj,1990,30,7/23/1990,16.48,299.5585714,299.6357143,295.96,301.8,297.1,42.53,80.74285714,16.48,17.34142857,2.071428571
sj,1990,31,7/30/1990,32.66,299.8628571,299.95,296.1728571,303,298.3,34.6,80.58428571,32.66,17.59428571,2.585714286
sj,1990,32,8/6/1990,28.8,300.3914286,300.4785714,296.5328571,302.5,298.8,20,79.65,28.8,17.95,2.328571429
sj,1990,33,8/13/1990,90.75,299.9585714,299.9571429,297.0357143,302.6,298.5,101.9,84.17857143,90.75,18.51571429,1.857142857
sj,1990,34,8/20/1990,32.4,300.3328571,300.4142857,296.7285714,302.5,298.1,25.9,80.94714286,32.4,18.17428571,2.485714286
sj,1990,35,8/27/1990,40.94,300.1185714,300.2214286,297.0171429,302.2,298.7,39.8,83.34857143,40.94,18.51571429,1.9
sj,1990,36,9/3/1990,28.86,300.53,300.6357143,296.1171429,303.8,298,30.4,77.17285714,28.86,17.56,3.471428571
sj,1990,37,9/10/1990,64.56,300.6742857,300.7928571,297.1928571,302.9,299,24.18,81.55142857,64.56,18.77714286,2.9
sj,1990,38,9/17/1990,143.73,299.8571429,299.9,296.4314286,301.7,298.7,36.6,81.63714286,143.73,17.89285714,1.742857143
sj,1990,39,9/24/1990,51.39,300.4271429,300.6,296.0285714,302.4,299.1,16.4,77.04857143,51.39,17.46857143,2.257142857
sj,1990,40,10/1/1990,31.18,300.7757143,300.85,296.6642857,303.3,299.1,36.1,78.52,31.18,18.18,2.9
sj,1990,41,10/8/1990,51.42,299.8571429,299.9428571,296.9285714,301.8,298.1,132.4,84.11,51.42,18.51285714,2.571428571
sj,1990,42,10/15/1990,143.55,299.1957143,299.3071429,296.5442857,301.5,297.5,279.6,85.62142857,143.55,18.11571429,1.871428571
